generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,L_virgatum,A_pubescens,0,0.032,0.145319,0.005,0
1000,L_virgatum,A_pubescens,0,0.115972,0.0311965,0.113338,0
2000,L_virgatum,A_pubescens,0,0.0953715,0.0445039,0.111282,0
3000,L_virgatum,A_pubescens,0,0.119773,0.0644907,0.170883,0
4000,L_virgatum,A_pubescens,0,0.145058,0.0318943,0.155283,0
5000,L_virgatum,A_pubescens,0,0.129396,0.0714777,0.183028,0
6000,L_virgatum,A_pubescens,0,0.117779,0.0584269,0.161012,0
7000,L_virgatum,A_pubescens,0,0.0991502,0.118901,0.0865835,0
8000,L_virgatum,A_pubescens,0,0.171472,0.00937799,0.186722,0
9000,L_virgatum,A_pubescens,0,0.0945398,0.0398623,0.0934793,0
10000,L_virgatum,A_pubescens,0,0.145176,0.030818,0.191487,0
11000,L_virgatum,A_pubescens,0,0.194948,0.00727321,0.192775,0
12000,L_virgatum,A_pubescens,0,0.191255,0.0117639,0.194865,0
13000,L_virgatum,A_pubescens,0,0.107739,0.0511931,0.138438,0
14000,L_virgatum,A_pubescens,0,0.134928,0.0888742,0.221055,0
15000,L_virgatum,A_pubescens,0,0.0962039,0.0851242,0.103319,0
15000,A_pubescens,NA,53.3334,0.581272,-0.0214641,1.31278,0
16000,L_virgatum,A_pubescens,0,0.124908,0.0742669,0.177664,0
17000,L_virgatum,A_pubescens,0,0.119546,0.115845,0.173076,0
18000,L_virgatum,A_pubescens,0,0.160198,0.103311,0.259293,0
19000,L_virgatum,A_pubescens,0,0.119092,0.0732012,0.143139,0
20000,L_virgatum,A_pubescens,0,0.121876,0.0890012,0.193459,0
21000,L_virgatum,A_pubescens,0,0.147762,0.013825,0.128574,0
22000,L_virgatum,A_pubescens,0,0.187489,0.0309414,0.284432,0
23000,L_virgatum,A_pubescens,0,0.322284,-0.00328108,0.245508,0
24000,L_virgatum,A_pubescens,0,0.248321,0.000609864,0.20084,0
25000,L_virgatum,A_pubescens,0,0.149673,0.0265554,0.19927,0
26000,L_virgatum,A_pubescens,0,0.162195,0.00386041,0.115915,0
27000,L_virgatum,A_pubescens,0,0.277929,-0.00556129,0.187873,0
28000,L_virgatum,A_pubescens,0,0.381347,-0.00760327,0.253457,0
29000,L_virgatum,A_pubescens,0,0.468145,-0.00737246,0.305436,0
30000,L_virgatum,A_pubescens,0,0.244919,-0.00741901,0.0965713,0
31000,L_virgatum,A_pubescens,0,0.378472,-0.00679687,0.236543,0
32000,L_virgatum,A_pubescens,0,0.110343,0.0325514,0.123864,0
33000,L_virgatum,A_pubescens,0,0.132365,0.0316258,0.173122,0
34000,L_virgatum,A_pubescens,0,0.117683,0.052909,0.190095,0
35000,L_virgatum,A_pubescens,0,0.115462,0.0515925,0.125204,0
36000,L_virgatum,A_pubescens,0,0.0967535,0.0464411,0.116115,0
37000,L_virgatum,A_pubescens,0,0.15682,0.0144667,0.152811,0
37000,A_pubescens,NA,55.3295,0.110055,-0.020758,0.653465,0
38000,L_virgatum,A_pubescens,0,0.0952385,0.0451192,0.123674,0
39000,L_virgatum,A_pubescens,0,0.116574,0.0349067,0.142495,0
40000,L_virgatum,A_pubescens,0,0.178132,0.00886773,0.183058,0
40000,Re_indica,NA,48.7977,0.348888,-0.0290885,0.321893,0
