generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,606,A_pubescens,0,0.032,0,0.005,0
1000,606,A_pubescens,0,0.228628,0.0872736,0.308841,0
2000,606,A_pubescens,0,0.322705,0.0228967,0.364164,0
3000,606,A_pubescens,0,0.382436,0.0436076,0.544314,0
3000,T_sinensis,NA,35.3526,0.0612154,-0.0350587,0.134598,0
4000,606,A_pubescens,0,0.347806,0.0587282,0.506418,0
5000,606,A_pubescens,0,0.282543,0.112024,0.48295,0
6000,606,A_pubescens,0,0.355896,0.0558124,0.54549,0
7000,606,A_pubescens,0,0.275284,0.116153,0.475628,0
8000,606,A_pubescens,0,0.365049,0.0188159,0.400617,0
9000,606,A_pubescens,0,0.571739,0.0162363,0.688568,0
10000,606,A_pubescens,0,0.476367,0.0229652,0.629769,0
11000,606,A_pubescens,0,0.392315,0.0118197,0.387446,0
11000,L_catharticum,NA,28.7228,0.217828,-0.0276452,0.856437,0
12000,606,A_pubescens,0,0.55158,0.0115387,0.582818,0
13000,606,A_pubescens,0,0.403228,0.00618072,0.354921,0
14000,606,A_pubescens,0,0.350069,0.0368331,0.504305,0
15000,606,A_pubescens,0,0.336893,0.0151863,0.353024,0
16000,606,A_pubescens,0,0.4771,0.0107835,0.557495,0
17000,606,A_pubescens,0,0.500447,0.00751665,0.481915,0
18000,606,A_pubescens,0,0.451511,0.00503789,0.386165,0
19000,606,A_pubescens,0,0.274843,0.0806448,0.440707,0
20000,606,A_pubescens,0,0.263782,0.0452988,0.344176,0
21000,606,A_pubescens,0,0.297062,0.0622467,0.462139,0
22000,606,A_pubescens,0,0.310788,0.0406283,0.462943,0
23000,606,A_pubescens,0,0.241509,0.0963536,0.370881,0
24000,606,A_pubescens,0,0.431295,0.0545758,0.680544,0
25000,606,A_pubescens,0,0.423666,0.0388401,0.559384,0
26000,606,A_pubescens,0,0.459113,0.0172579,0.487209,0
27000,606,A_pubescens,0,0.442971,0.0199882,0.541016,0
28000,606,A_pubescens,0,0.220211,0.0397779,0.225071,0
29000,606,A_pubescens,0,0.455046,0.0581824,0.733044,0
30000,606,A_pubescens,0,0.258444,0.0706242,0.363768,0
31000,606,A_pubescens,0,0.35283,0.0911445,0.603481,0
32000,606,A_pubescens,0,0.427328,0.00734967,0.46366,0
33000,606,A_pubescens,0,0.380585,0.0525192,0.631829,0
33000,Re_indica,NA,16.2977,0.717508,-0.0707182,0.128256,0
34000,606,A_pubescens,0,0.264285,0.0709128,0.40049,0
35000,606,A_pubescens,0,0.385888,0.026457,0.503324,0
36000,606,A_pubescens,0,0.480345,0.0124522,0.560281,0
37000,606,A_pubescens,0,0.344437,0.0937613,0.607624,0
38000,606,A_pubescens,0,0.376182,0.0312586,0.518835,0
39000,606,A_pubescens,0,0.639107,0.00307347,0.651492,0
40000,606,A_pubescens,0,0.591611,-0.000783263,0.535306,0
41000,606,A_pubescens,0,0.482345,0.0359063,0.68554,0
42000,606,A_pubescens,0,0.311045,0.0666209,0.468605,0
43000,606,A_pubescens,0,0.336051,0.0566885,0.526289,0
44000,606,A_pubescens,0,0.322853,0.0264466,0.380138,0
45000,606,A_pubescens,0,0.447496,0.0156683,0.532328,0
46000,606,A_pubescens,0,0.491407,0.024037,0.638429,0
47000,606,A_pubescens,0,0.445091,0.0214376,0.560283,0
48000,606,A_pubescens,0,0.327795,0.0324856,0.3961,0
49000,606,A_pubescens,0,0.522742,0.0294038,0.724721,0
50000,606,A_pubescens,0,0.436468,0.0144529,0.50124,0
51000,606,A_pubescens,0,0.430307,0.0224922,0.531136,0
52000,606,A_pubescens,0,0.40597,0.0322666,0.549838,0
53000,606,A_pubescens,0,0.430819,0.0199529,0.543351,0
54000,606,A_pubescens,0,0.488672,0.00992621,0.547983,0
55000,606,A_pubescens,0,0.632021,0.00480941,0.656943,0
56000,606,A_pubescens,0,0.590451,0.00757878,0.682943,0
57000,606,A_pubescens,0,0.464789,0.0138976,0.518342,0
58000,606,A_pubescens,0,0.441903,0.0508009,0.71312,0
59000,606,A_pubescens,0,0.368249,0.0459592,0.544011,0
59000,Re_indica,NA,29.1124,0.0365718,0.0802656,0.601222,0
60000,606,A_pubescens,0,0.531401,0.0029504,0.522616,0
61000,606,A_pubescens,0,0.496579,0.0149396,0.560745,0
62000,606,A_pubescens,0,0.521665,0.0222846,0.682832,0
63000,606,A_pubescens,0,0.513104,0.00726779,0.523508,0
64000,606,A_pubescens,0,0.617411,0.0131596,0.73635,0
65000,606,A_pubescens,0,0.416817,0.0137377,0.469985,0
66000,606,A_pubescens,0,0.314865,0.0407661,0.447924,0
67000,606,A_pubescens,0,0.614088,0.0113886,0.67611,0
67000,A_pubescens,Re_indica,4.13299,0.646957,-0.0152097,0.645629,0
68000,606,A_pubescens,0,0.498635,0.00340411,0.442601,0
68000,A_pubescens,Re_indica,2.00002,0.567932,-0.0225957,0.374013,0
69000,606,A_pubescens,0,0.590709,-0.0029461,0.487887,0
70000,606,A_pubescens,0,0.515852,0.0218595,0.667076,0
71000,606,A_pubescens,0,0.762193,0.00331509,0.771244,0
72000,606,A_pubescens,0,0.325083,0.0203804,0.350669,0
73000,606,A_pubescens,0,0.320603,0.0596224,0.466062,0
74000,606,A_pubescens,0,0.320888,0.0701437,0.56175,0
75000,606,A_pubescens,0,0.355468,0.0648371,0.543278,0
76000,606,A_pubescens,0,0.35777,0.0248483,0.431884,0
77000,606,A_pubescens,0,0.312243,0.0411768,0.471908,0
78000,606,A_pubescens,0,0.351386,0.0341398,0.435733,0
79000,606,A_pubescens,0,0.732516,-0.00218781,0.623857,0
80000,606,A_pubescens,0,0.88617,-0.00131541,0.842988,0
80000,Re_indica,NA,15.4024,0.162416,0.0360761,0.207733,0
81000,606,A_pubescens,0,0.844368,0.000705416,0.820256,0
82000,606,A_pubescens,0,0.883013,0.00201698,0.883186,0
82000,Re_indica,NA,32.5001,0.0823082,-0.00228888,0.861721,0
83000,606,A_pubescens,0,0.726874,0.00199986,0.695631,0
84000,606,A_pubescens,0,0.523587,-0.00536122,0.420347,0
85000,606,A_pubescens,0,0.636682,0.00551259,0.625961,0
86000,606,A_pubescens,0,0.957604,-0.001617,0.849562,0
87000,606,A_pubescens,0,0.472773,0.0101651,0.506971,0
88000,606,A_pubescens,0,1.04796,-0.00255792,0.94658,0
89000,606,A_pubescens,0,0.884826,-0.000595941,0.846977,0
90000,606,A_pubescens,0,0.917602,-0.00373507,0.768272,0
91000,606,A_pubescens,0,0.589815,0.00569239,0.653731,0
92000,606,A_pubescens,0,0.574191,0.00646978,0.570331,0
93000,606,A_pubescens,0,0.581129,0.00105603,0.501308,0
94000,606,A_pubescens,0,0.593307,-0.000524607,0.518137,0
95000,606,A_pubescens,0,0.69599,0.00220619,0.665762,0
96000,606,A_pubescens,0,0.586559,0.006768,0.670325,0
97000,606,A_pubescens,0,0.764592,0.00511443,0.748238,0
98000,606,A_pubescens,0,0.53937,0.0199474,0.678706,0
99000,606,A_pubescens,0,0.50346,0.0294014,0.680463,0
100000,606,A_pubescens,0,0.453678,0.0283998,0.620569,0
101000,606,A_pubescens,0,0.316246,0.0770536,0.538903,0
102000,606,A_pubescens,0,0.334339,0.0284975,0.431848,0
103000,606,A_pubescens,0,0.373973,0.0539357,0.526933,0
104000,606,A_pubescens,0,0.307938,0.0572249,0.439413,0
105000,606,A_pubescens,0,0.344071,0.0167994,0.368697,0
106000,606,A_pubescens,0,0.56731,0.0130141,0.648698,0
107000,606,A_pubescens,0,0.654669,0.00399862,0.603167,0
108000,606,A_pubescens,0,0.535818,0.00708785,0.552622,0
109000,606,A_pubescens,0,0.530031,0.0087364,0.572133,0
110000,606,A_pubescens,0,0.452256,0.00860598,0.424148,0
111000,606,A_pubescens,0,0.475353,0.00661597,0.472844,0
112000,606,A_pubescens,0,0.368159,0.0671167,0.614356,0
113000,606,A_pubescens,0,0.380323,0.0511599,0.563429,0
114000,606,A_pubescens,0,0.457567,0.0135682,0.488556,0
115000,606,A_pubescens,0,0.375026,0.0420802,0.494877,0
116000,606,A_pubescens,0,0.287536,0.0329973,0.372609,0
117000,606,A_pubescens,0,0.332675,0.0543286,0.49878,0
118000,606,A_pubescens,0,0.400623,0.0158361,0.473403,0
119000,606,A_pubescens,0,0.397512,0.0215552,0.500227,0
120000,606,A_pubescens,0,0.369137,0.0503687,0.536116,0
121000,606,A_pubescens,0,0.313892,0.0697903,0.503767,0
122000,606,A_pubescens,0,0.368595,0.0317368,0.473841,0
123000,606,A_pubescens,0,0.503096,0.0186066,0.645335,0
124000,606,A_pubescens,0,0.55889,0.0149851,0.645715,0
125000,606,A_pubescens,0,0.521836,0.0116786,0.557748,0
126000,606,A_pubescens,0,0.397233,0.0240806,0.468066,0
127000,606,A_pubescens,0,0.460526,0.0178014,0.540836,0
128000,606,A_pubescens,0,0.457663,0.0107285,0.503351,0
129000,606,A_pubescens,0,0.544265,0.00951389,0.61429,0
130000,606,A_pubescens,0,0.430038,0.0194729,0.483633,0
131000,606,A_pubescens,0,0.574161,0.0027588,0.549295,0
132000,606,A_pubescens,0,0.536329,-0.000865086,0.467007,0
133000,606,A_pubescens,0,0.268446,0.0506986,0.373643,0
134000,606,A_pubescens,0,0.27935,0.0510882,0.407364,0
135000,606,A_pubescens,0,0.31665,0.0811538,0.498649,0
136000,606,A_pubescens,0,0.479138,0.0100384,0.549218,0
137000,606,A_pubescens,0,0.311688,0.0590594,0.447264,0
138000,606,A_pubescens,0,0.478089,0.0215317,0.602334,0
139000,606,A_pubescens,0,0.387802,0.0468416,0.566293,0
140000,606,A_pubescens,0,0.278159,0.0799565,0.435745,0
141000,606,A_pubescens,0,0.399477,0.0247479,0.524978,0
141000,A_pubescens,Re_indica,2.00339,0.314535,-0.0199173,0.239594,0
142000,606,A_pubescens,0,0.488257,0.0226396,0.718602,0
143000,606,A_pubescens,0,0.49785,0.0204594,0.630108,0
143000,A_pubescens,Re_indica,4.75889,0.385682,-0.0684481,0.112845,0
144000,606,A_pubescens,0,0.441634,0.0200647,0.507976,0
145000,606,A_pubescens,0,0.351652,0.0836632,0.568061,0
146000,606,A_pubescens,0,0.303947,0.0247566,0.34026,0
147000,606,A_pubescens,0,0.557258,0.00605164,0.610972,0
148000,606,A_pubescens,0,0.597095,0.00332799,0.580059,0
149000,606,A_pubescens,0,0.573841,0.00354412,0.48099,0
150000,606,A_pubescens,0,0.553981,-0.00135782,0.502239,0
151000,606,A_pubescens,0,0.546107,0.00546847,0.548522,0
152000,606,A_pubescens,0,0.582343,0.00789917,0.654932,0
153000,606,A_pubescens,0,0.295117,0.0388038,0.368452,0
154000,606,A_pubescens,0,0.441015,0.0197315,0.548499,0
155000,606,A_pubescens,0,0.441375,0.0120619,0.430679,0
156000,606,A_pubescens,0,0.558542,0.00770033,0.57509,0
157000,606,A_pubescens,0,0.314364,0.0152418,0.364366,0
158000,606,A_pubescens,0,0.426827,0.0194921,0.524377,0
159000,606,A_pubescens,0,0.327268,0.0641458,0.507104,0
160000,606,A_pubescens,0,0.376415,0.0504836,0.550884,0
161000,606,A_pubescens,0,0.327816,0.0262602,0.414582,0
162000,606,A_pubescens,0,0.288268,0.0615777,0.369897,0
163000,606,A_pubescens,0,0.347206,0.0433468,0.498259,0
164000,606,A_pubescens,0,0.367233,0.0367043,0.492669,0
165000,606,A_pubescens,0,0.308614,0.0244887,0.321726,0
166000,606,A_pubescens,0,0.442495,0.0573276,0.693877,0
167000,606,A_pubescens,0,0.377188,0.0623107,0.557553,0
168000,606,A_pubescens,0,0.389477,0.0594166,0.57305,0
169000,606,A_pubescens,0,0.347317,0.0502568,0.406221,0
169000,A_pubescens,Re_indica,8.55242,0.424748,-0.0487444,0.150972,0
170000,606,A_pubescens,0,0.330371,0.0577137,0.508351,0
170000,A_pubescens,Re_indica,4.82233,0.499707,-0.0750092,0.116964,0
171000,606,A_pubescens,0,0.323425,0.0172918,0.338244,0
171000,A_pubescens,Re_indica,1.19352,0.448094,-0.0835798,0.15955,0
172000,606,A_pubescens,0,0.358223,0.0352898,0.480648,0
173000,606,A_pubescens,0,0.285804,0.0658536,0.438858,0
174000,606,A_pubescens,0,0.960116,-0.00241375,0.899573,0
175000,606,A_pubescens,0,0.313605,0.0703555,0.503328,0
176000,606,A_pubescens,0,0.288903,0.0709196,0.415818,0
176000,L_volkensii,NA,35.6515,0.575378,-0.113905,0.337665,0
