generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-4.10265,-363.496,1,1
1000,0,0.488516,-334.281,0.245385,0.229
2000,0,-0.250631,-334.676,0.805713,0.243
3000,0,-0.87599,-333.956,0.91138,0.245918
4000,0,0.060094,-336.494,0.593971,0.224444
5000,0,-0.285612,-334.201,0.109231,0.219333
6000,0,0.0397194,-333.881,0.156605,0.22213
7000,0,-3.23005,-337.354,1.37468,0.225333
8000,0,0.413172,-334.979,0.3689,0.2425
9000,0,0.591401,-334.508,0.0606348,0.2295
10000,0,0.402417,-334.482,0.228826,0.2236
11000,0,-0.198848,-334.219,0.9584,0.216
12000,0,0.208093,-335.095,0.535964,0.181
13000,0,0.140262,-333.982,0.247269,0.197
14000,0,-0.786418,-334.742,0.00856699,0.259
15000,1,-1.89779,-333.348,0.578559,0.241286
16000,0,-0.409392,-334.009,0.16156,0.233
17000,0,-3.76561,-333.909,1.94682,0.212
18000,0,-1.44235,-335.708,0.0460747,0.221
19000,0,-0.320482,-334.959,0.144423,0.244
20000,0,-2.76831,-334.468,2.02659,0.221
21000,0,0.737089,-334.293,0.106203,0.216
22000,0,-0.882145,-337.954,1.37661,0.172
23000,0,0.420058,-335.289,0.167852,0.204875
24000,0,0.657923,-334.152,0.0506969,0.205667
25000,0,0.0908938,-334.785,0.57698,0.198667
26000,0,-0.10765,-334.245,0.984415,0.1895
27000,0,0.639482,-337.212,0.0463848,0.21025
28000,0,0.504271,-337.414,0.00721736,0.205929
29000,0,0.332077,-337.082,0.0413269,0.156
30000,0,0.695934,-338.852,0.109423,0.176
31000,0,0.0705196,-335.928,0.46308,0.178
32000,0,-0.187716,-333.927,0.899446,0.213571
33000,0,0.50125,-334.194,0.151081,0.204
34000,0,0.263844,-336.474,0.0263601,0.218
35000,0,0.0697476,-334.887,0.315085,0.201556
36000,0,-0.191481,-334.595,0.705112,0.237
37000,1,0.221684,-333.726,0.892839,0.1845
38000,0,0.345457,-335.578,0.186337,0.3015
39000,0,0.314113,-333.902,0.340978,0.244
40000,1,0.701018,-335.543,0.397766,0.193
41000,0,-0.456935,-337.147,0.409025,0.206
42000,0,0.374207,-334.464,0.341329,0.240125
43000,0,0.298735,-334.629,0.542916,0.201
